id	filename	md5	size	state	study
07c69c19-ba9d-4f6d-966e-7591fd96f9b1	TCGA-BC-A8YO-10A-01D-A370-10_Illumina_gdc_realn.bam	42fa23ffb6c4a00db4080473c4995851	12683594714	live	TCGA-LIHC
141e292a-1d4c-41f1-a88b-ef0d96841f91	TCGA-G3-A7M8-10A-01D-A33Q-10_Illumina_gdc_realn.bam	04c3748f156edcdfa8268be253a46372	12911550519	live	TCGA-LIHC
c2e6e9bf-a1c6-408d-86ac-d1428cc5f299	TCGA-DD-A116-01A-11D-A12Z-10_Illumina_gdc_realn.bam	78ac158a91ee9c8f6b584335fdedf631	36297414243	live	TCGA-LIHC
576d3c5d-7b70-427f-a099-36708dbca994	TCGA-UB-A7MF-01A-11D-A33K-10_Illumina_gdc_realn.bam	9aa57fa02995ff8e0f18e2e44989ece2	12237488949	live	TCGA-LIHC
841900ab-4c2e-48a4-9eed-d1e42145d1a1	TCGA-FV-A3I1-11A-11D-A22F-10_Illumina_gdc_realn.bam	a39a2ed7a7c7b983c7d15d0a83f5bde2	14414997784	live	TCGA-LIHC
eb02f7a3-9cc3-4c1b-9e00-d0b51a3855c9	TCGA-CC-A7II-01A-11D-A33K-10_Illumina_gdc_realn.bam	8038ed574fe531f321c92133557e961d	14326680776	live	TCGA-LIHC
e8133ac4-c55e-4c21-9a44-0fffa362955f	TCGA-3K-AAZ8-01A-12D-A38X-10_Illumina_gdc_realn.bam	402d83d19eae282ddd4ef53993c9fabb	16091213636	live	TCGA-LIHC
d11fe338-a267-4411-97b4-51878d3880ad	TCGA-ED-A66X-01A-11D-A30V-10_Illumina_gdc_realn.bam	e3493ed0cce141096d27876e093b9a63	13328800924	live	TCGA-LIHC
41620875-9af1-4a5a-9c41-bc29cbbdcb09	TCGA-2Y-A9H0-01A-11D-A382-10_Illumina_gdc_realn.bam	da7ad9edf3dcf79e172e1ba43b2a1f7e	16559891657	live	TCGA-LIHC
365bda84-da4b-40a4-a136-40116bdaee96	TCGA-DD-A1EI-01A-11D-A12Z-10_Illumina_gdc_realn.bam	9debaed11595e1f8d470bc5c7921fab1	37341187615	live	TCGA-LIHC
f5ae4059-0b71-44f8-9203-9dd646750f58	TCGA-G3-A25S-01A-11D-A16V-10_Illumina_gdc_realn.bam	856121eddfaf27664c6735e9cfb53e48	22306207275	live	TCGA-LIHC
