id	filename	md5	size	state	study
7e261d31-83ba-4135-822c-6e2814a4d230	C546.TCGA-IB-AAUP-01A-11D-A377-08.3_gdc_realn.bam	ba9c755a0afcc15bce1b6ba3a66ab1b4	62815120565	live	TCGA-PAAD
c9958927-1a87-4f61-a23d-3651f13dea69	C546.TCGA-HV-AA8X-01A-11D-A397-08.2_gdc_realn.bam	36ecb8a51a87a9050afbc41f6b472e88	42957338876	live	TCGA-PAAD
4db120c0-0ab8-43cb-961a-4ef828bba8be	C546.TCGA-2J-AABF-01A-31D-A40W-08.1_gdc_realn.bam	b26a07cad3fbd69ffbd4a1ed6d0a8ec2	45664986486	live	TCGA-PAAD
96b9a489-2b51-4c60-948e-19812f041a2a	C546.TCGA-FB-A5VM-10A-01D-A32N-08.5_gdc_realn.bam	26287217905d6d29de54e5842b04d9d5	9271370886	live	TCGA-PAAD
c5ba69a6-a21a-4320-9a05-ef53a8dd504b	C546.TCGA-IB-A5ST-01A-11D-A32N-08.5_gdc_realn.bam	8dc7413186be81e1fc831fb6adb0aace	77190178765	live	TCGA-PAAD
8cb9e4d6-3cd4-49bb-9bf4-a7c894024766	C546.TCGA-FB-AAPZ-01A-11D-A40W-08.1_gdc_realn.bam	a304d82996d17e44dc2c2607b3a7084d	63106776952	live	TCGA-PAAD
c179bbc8-b3c9-4b70-9fcb-899d2cc9d9c3	C546.TCGA-2J-AABK-10A-01D-A40W-08.2_gdc_realn.bam	9e525df51a4c3fb778529639984effd1	8713233261	live	TCGA-PAAD
c4d12abb-a0da-466b-bc35-ce9d52180dc7	C546.TCGA-F2-6879-01A-11D-2154-08.5_gdc_realn.bam	dfea48ed1183c23e2d85ba28e521280d	63383652694	live	TCGA-PAAD
07bb5fd4-12af-4800-b300-0f60d495f83c	C546.TCGA-IB-AAUS-01A-12D-A38G-08.2_gdc_realn.bam	aab6ed9491c17f9a8b162fbc25369933	53221251725	live	TCGA-PAAD
a2ba8ebc-93e4-4e4f-8192-ed3e6a18e461	C546.TCGA-US-A77E-01A-11D-A32N-08.5_gdc_realn.bam	a81245999f618b83c28254dd460b3ef1	68892139877	live	TCGA-PAAD
cc4b44c0-532a-462d-a34b-26405eef56c6	C546.TCGA-2J-AAB8-01A-12D-A40W-08.1_gdc_realn.bam	da6c4f82a62d8d24bc7dbbc5abb811f4	54765718446	live	TCGA-PAAD
bb13b71b-b481-485f-b085-ce64cfa18c15	C546.TCGA-IB-7644-01A-11D-2154-08.5_gdc_realn.bam	f0f748b9b99a6a2537fc98ba48edf121	58192249222	live	TCGA-PAAD
b8da71c7-46f7-4e0d-a074-0b38cc326629	C546.TCGA-HZ-A49H-01A-11D-A26I-08.5_gdc_realn.bam	5d21ec9fd0dbecc7fd4129c52ddeac80	73560290588	live	TCGA-PAAD
d11768d9-52f1-4859-bdb4-48cbe4a9d748	C546.TCGA-S4-A8RP-10A-01D-A367-08.2_gdc_realn.bam	ddcd7cf9b5f2f5eccd9f83e8ea249edc	7723053036	live	TCGA-PAAD
fa74736a-27a1-4677-884c-fc6213f16318	C546.TCGA-IB-A6UF-01A-23D-A33T-08.5_gdc_realn.bam	32a58b0976ee22dd9f7892a726aa6bae	73692253934	live	TCGA-PAAD
3a8bc05a-ee68-4cd3-994c-7ce2d01b8ae3	C546.TCGA-IB-7897-10A-01D-2201-08.7_gdc_realn.bam	8cf6eefd567febf9d00c8d6622a1d322	10074109555	live	TCGA-PAAD
fa473af1-e79e-4008-aa87-297672a73581	C546.TCGA-HZ-A8P0-01A-11D-A36O-08.2_gdc_realn.bam	2aa83de71f01539309050dd6f544a224	64491822305	live	TCGA-PAAD
1a109386-2d05-468e-a018-3c3316072fad	C546.TCGA-HZ-A4BH-01A-11D-A26I-08.5_gdc_realn.bam	07f0e2327b02fbbf4102f7afb2de0201	70277039048	live	TCGA-PAAD
71895811-02b6-4262-8f28-3241e2574f30	C546.TCGA-IB-AAUQ-10A-01D-A40W-08.1_gdc_realn.bam	ec2b426477744d72ab103675cf4252d2	11215280091	live	TCGA-PAAD
5868abc3-9d6d-47b3-b7d9-7a4ecacebcf6	C546.TCGA-2L-AAQM-11A-11D-A39A-08.2_gdc_realn.bam	6ce98cace840e1e515f0691bef1902a1	19454108410	live	TCGA-PAAD
