id	filename	md5	size	state	study
893f38ec-fbd4-4657-9fc2-d894e96df2c3	C1515.TCGA-N5-A4RM-01A-11D-A28R-08.2_gdc_realn.bam	ff550eec8a1faf5d82e5c3764aadc1b5	24467867274	live	TCGA-UCS
52e366ad-f963-4e8b-9b35-47976e870ce9	C1515.TCGA-N9-A4Q4-01A-11D-A28R-08.2_gdc_realn.bam	405e0a6a49dbab803780868c6ab4fdce	11682091924	live	TCGA-UCS
6e4ea82b-2b70-48d0-a11a-cb49e542fd05	C1515.TCGA-NF-A4X2-01A-11D-A28R-08.2_gdc_realn.bam	0c38120858472ccb0b05bdb79b3c8d82	20366405774	live	TCGA-UCS
a18627cf-1eb6-4b1e-8aec-7426c1eaf7d1	C1515.TCGA-ND-A4WF-10A-01D-A28U-08.2_gdc_realn.bam	8f430155720477a93452b8ecf3d0a79a	14945127755	live	TCGA-UCS
fc810e11-6cb5-4a66-ab2a-7dbc40572d38	C1515.TCGA-N5-A4RD-01A-11D-A28R-08.2_gdc_realn.bam	b3a7741a94306e7d36a48db526d27c68	12951368762	live	TCGA-UCS
c338023c-5f90-4af6-bff1-dd71a917c8e3	C1515.TCGA-NA-A4QW-01A-11D-A28R-08.2_gdc_realn.bam	76b6d140f9b0cd76f07d5b9ac05fe00f	17886987719	live	TCGA-UCS
bd3d8aa9-6f70-44da-86b8-4cff75032932	C1515.TCGA-N9-A4Q1-10B-01D-A28U-08.2_gdc_realn.bam	654828790d51c465a6f6e2920a16aceb	19713342022	live	TCGA-UCS
8a8b0b5e-0aed-419d-850f-dd0217ba9fd1	C1515.TCGA-NF-A4WX-01A-11D-A28R-08.2_gdc_realn.bam	750df096901a28307d8c3af314d78b1c	15208651624	live	TCGA-UCS
7c01cb09-108d-44e8-ac00-ae43dabfe1dc	C1515.TCGA-NA-A4QV-01A-11D-A28R-08.2_gdc_realn.bam	84f659587372120e6a977980f1389eed	18591684281	live	TCGA-UCS
8d9236f9-74a6-4a57-9f61-00536e08c7d1	C1515.TCGA-NF-A4WX-10A-01D-A28U-08.2_gdc_realn.bam	32eef9af45f0429095143b54cb623599	14771465229	live	TCGA-UCS
